opportunity_id,account_name,account_specialty,account_state,account_providers,stage,win_probability,amount,products,lead_source,owner,region,created_date,close_date,days_in_stage
006919126923,Advanced Urology Medical Associates,Urology,IA,8,Demo Scheduled,0.30,56000.00,EHR + PM + RCM,Conference,David Kim,Midwest,2025-10-08,2025-12-23,28
006151133100,Highland Orthopedic Medical Practice,Orthopedic Surgery,AZ,2,Proposal Sent,0.55,99800.00,Full Suite,Content Download,Jennifer Ruiz,Southwest,2026-02-05,2026-07-03,3
006796851912,Mountain Plastic Practice,Plastic Surgery,NJ,3,Proposal Sent,0.55,122300.00,RCM Only,Referral,Sarah Chen,Northeast,2025-09-27,2025-11-15,26
006498902989,Valley Urology Institute,Urology,NM,1,Demo Scheduled,0.30,55700.00,Full Suite,Webinar,Jennifer Ruiz,Southwest,2025-11-08,2025-12-15,12
006405781450,Palm Pain Medical Associates,Pain Management,WY,12,Prospecting,0.10,70200.00,Full Suite,Partner,Alex Morrison,West,2025-11-25,2026-03-20,26
006176450310,Lakeside Podiatry Specialists,Podiatry,AR,1,Negotiation,0.70,44400.00,EHR + PM,Webinar,Marcus Williams,Southeast,2026-01-18,2026-02-26,21
006230275653,Coastal Urology Center for Excellence,Urology,WA,2,Demo Scheduled,0.30,98700.00,Full Suite,Existing Customer Expansion,Alex Morrison,West,2025-11-04,2025-12-09,7
006181701615,River Podiatry Specialty Group,Podiatry,WY,5,Negotiation,0.70,54300.00,EHR + PM,Outbound BDR,Alex Morrison,West,2025-11-04,2026-02-21,5
006158788046,Metro Orthopedic Medical Associates,Orthopedic Surgery,AK,5,Proposal Sent,0.55,149000.00,EHR,Conference,Alex Morrison,West,2025-10-07,2025-12-17,23
006245159917,Heritage Otolaryngology Medical Associates,Otolaryngology,VA,5,Prospecting,0.10,65400.00,EHR + PM,Partner,Marcus Williams,Southeast,2026-01-18,2026-03-17,15
006306785513,Lakeside Gastroenterology Specialists,Gastroenterology,IL,2,Discovery,0.20,73600.00,EHR,Referral,David Kim,Midwest,2026-02-21,2026-06-17,3
006808989455,Coastal Ophthalmology Medical Associates,Ophthalmology,AR,2,Closed Won,1.00,103600.00,EHR + PM + RCM,Inbound Web,Marcus Williams,Southeast,2025-12-25,2026-04-10,26
006820245383,Summit Orthopedic Healthcare Partners,Orthopedic Surgery,CT,2,Demo Complete,0.40,192900.00,EHR + PM,Partner,Sarah Chen,Northeast,2026-01-01,2026-05-22,31
006565718669,Coastal Plastic Medical Associates,Plastic Surgery,LA,8,Verbal Commit,0.85,62300.00,EHR,Referral,Marcus Williams,Southeast,2025-11-12,2026-01-13,8
006448620494,Metro Otolaryngology Center for Excellence,Otolaryngology,HI,3,Discovery,0.20,99400.00,EHR + PM,Webinar,Alex Morrison,West,2025-09-21,2026-02-22,12
006563411443,Central Podiatry Medical Associates,Podiatry,NJ,5,Discovery,0.20,36200.00,Full Suite,Content Download,Sarah Chen,Northeast,2025-12-28,2026-05-29,41
006500286841,Palm Podiatry Clinic,Podiatry,TN,1,Demo Complete,0.40,35800.00,Full Suite,Content Download,Marcus Williams,Southeast,2025-12-25,2026-06-11,39
006665587206,Advanced Gastroenterology Healthcare Partners,Gastroenterology,OK,8,Discovery,0.20,64300.00,Full Suite,Inbound Web,Jennifer Ruiz,Southwest,2025-12-20,2026-01-22,30
006365538017,Bay Area Urology Specialists,Urology,NV,5,Proposal Sent,0.55,90900.00,EHR + PM,Conference,Alex Morrison,West,2026-01-03,2026-03-07,33
006965734770,Mountain Pain Medical Center,Pain Management,TN,5,Prospecting,0.10,85300.00,Full Suite,Referral,Marcus Williams,Southeast,2026-01-05,2026-07-01,2
006337246748,Premier Urology Specialty Group,Urology,HI,2,Prospecting,0.10,80900.00,Full Suite,Content Download,Alex Morrison,West,2025-12-05,2026-04-06,7
006789528678,Valley Podiatry Center for Excellence,Podiatry,IL,3,Discovery,0.20,21500.00,EHR,Outbound BDR,David Kim,Midwest,2025-12-09,2026-03-13,6
006811430920,Palm Gastroenterology Healthcare Partners,Gastroenterology,UT,5,Verbal Commit,0.85,172400.00,EHR,Outbound BDR,Alex Morrison,West,2026-02-14,2026-06-13,2
006690328228,Summit Pain Medical Practice,Pain Management,KS,3,Prospecting,0.10,44400.00,RCM Only,Partner,David Kim,Midwest,2025-12-07,2026-04-28,24
006482765790,River Pain Specialists,Pain Management,IL,2,Negotiation,0.70,79600.00,EHR + PM + RCM,Referral,David Kim,Midwest,2025-09-13,2026-01-27,16
006579820911,Valley Plastic Institute,Plastic Surgery,NM,5,Discovery,0.20,67900.00,Full Suite,Existing Customer Expansion,Jennifer Ruiz,Southwest,2026-01-30,2026-04-16,9
006986870195,Valley Plastic Medical Practice,Plastic Surgery,GA,5,Discovery,0.20,101300.00,EHR + PM + RCM,Content Download,Marcus Williams,Southeast,2025-10-10,2026-02-19,21
006905866077,Sunrise Podiatry Medical Associates,Podiatry,NM,1,Prospecting,0.10,39300.00,EHR + PM + RCM,Conference,Jennifer Ruiz,Southwest,2026-01-01,2026-03-19,21
006291765595,Lakeside Orthopedic Healthcare Partners,Orthopedic Surgery,AZ,5,Negotiation,0.70,146100.00,EHR + PM,Conference,Jennifer Ruiz,Southwest,2025-11-04,2026-01-23,5
006636477999,Metro Plastic Healthcare Partners,Plastic Surgery,CO,3,Proposal Sent,0.55,96700.00,EHR + PM,Content Download,Alex Morrison,West,2026-01-29,2026-06-14,23
006679734329,Palm Dermatology Center for Excellence,Dermatology,ID,3,Negotiation,0.70,113400.00,EHR,Conference,Alex Morrison,West,2026-02-23,2026-05-02,3
006557611876,Sunrise Pain Medical Center,Pain Management,AL,1,Discovery,0.20,42900.00,Full Suite,Outbound BDR,Marcus Williams,Southeast,2026-02-19,2026-05-04,7
006451089086,Highland Otolaryngology Center for Excellence,Otolaryngology,IN,8,Proposal Sent,0.55,93800.00,RCM Only,Content Download,David Kim,Midwest,2026-01-04,2026-03-24,7
006179068563,Palm Otolaryngology Medical Associates,Otolaryngology,WY,8,Negotiation,0.70,41900.00,EHR + PM + RCM,Webinar,Alex Morrison,West,2026-02-07,2026-04-15,6
006327009949,Valley Otolaryngology Medical Practice,Otolaryngology,AK,8,Demo Complete,0.40,82700.00,EHR + PM + RCM,Content Download,Alex Morrison,West,2025-09-20,2026-02-11,15
006421267299,Summit Urology Medical Practice,Urology,AZ,1,Prospecting,0.10,129100.00,EHR + PM,Referral,Jennifer Ruiz,Southwest,2025-09-30,2025-12-27,20
006131197514,Summit Urology Medical Practice,Urology,AK,3,Prospecting,0.10,106500.00,EHR,Existing Customer Expansion,Alex Morrison,West,2026-02-19,2026-03-21,9
006982821459,Summit Plastic Clinic,Plastic Surgery,TX,8,Discovery,0.20,91700.00,EHR + PM,Referral,Jennifer Ruiz,Southwest,2025-12-09,2026-04-19,36
